name,online_order,book_table,rate,votes,location,rest_type,cuisines,average cost for 2
Smally's Resto Cafe,Yes,Yes,4.2,1692,Koramangala 5th Block,Cafe,American Burger Cafe Italian Steak,650.0
The Egg Factory,Yes,No,4.0,1308,JP Nagar,Casual Dining,American Continental,750.0
Caffe Pascucci,Yes,Yes,4.0,790,JP Nagar,Casual Dining,Beverages Continental Italian,1300.0
Watson's,Yes,Yes,4.0,1014,JP Nagar,Bar Pub,Chinese Continental Finger Food,1300.0
Desipun,Yes,Yes,4.2,344,Koramangala 5th Block,Casual Dining,Indian North,500.0
Punjabi Times,Yes,Yes,4.1,1027,Bannerghatta Road,Casual Dining,Indian North,1000.0
D View Cafe,Yes,No,4.0,508,JP Nagar,Bites Cafe Quick,Beverages Cafe Chinese Italian,1000.0
Little Lucknow,Yes,Yes,4.0,235,Koramangala 5th Block,Casual Dining,Indian Mughlai North,800.0
Baba Da Dhaba,No,Yes,4.1,446,Koramangala 7th Block,Casual Dining,Indian North,650.0
Crafted Plate,Yes,Yes,4.2,239,JP Nagar,Cafe Casual Dining,Asian Burger Cafe Continental Italian Salad,600.0
Smoke - The Sizzler House,Yes,Yes,4.0,1382,Koramangala 7th Block,Casual Dining,BBQ Chinese Continental Italian Steak Thai,1100.0
Kundana,Yes,No,3.7,111,Bannerghatta Road,Casual Dining,Andhra Biryani,800.0
Onesta,Yes,Yes,4.4,4386,JP Nagar,Cafe Casual Dining,Cafe Italian Pizza,600.0
Chai Galli,Yes,No,4.3,480,Koramangala 5th Block,Cafe,Cafe Food Street Tea,450.0
Sukh Sagar,Yes,No,3.8,473,Koramangala 5th Block,Casual Dining,Chinese Food Indian Indian North South Street,500.0
JukeBox,No,Yes,3.9,281,Koramangala 7th Block,Bar Casual Dining,Chinese Continental Indian Italian North Parsi Steak,1000.0
Barbeque Delight,Yes,No,3.7,65,Koramangala 5th Block,Casual Dining,Arabian BBQ Chinese Indian Kerala North,800.0
Sherlock's Pub,No,Yes,3.9,579,Koramangala 5th Block,Casual Dining Pub,Chinese Continental Indian North,1300.0
Popsies,Yes,No,3.9,823,Koramangala 5th Block,Casual Dining,Chinese Momos,550.0
Parkview,No,No,4.0,130,JP Nagar,Bites Quick,Chinese Indian Indian North South,300.0
Chicken County Grand,Yes,No,3.9,320,Bannerghatta Road,Casual Dining,Chinese Indian North,650.0
Starbucks,No,No,4.2,386,JP Nagar,Cafe,Cafe Desserts,700.0
California Burrito,No,No,4.1,1223,Koramangala 5th Block,Bites Quick,Fast Food Mexican,400.0
Stoner,Yes,No,4.5,2594,Koramangala 5th Block,Cafe Dessert Parlor,Beverages Burger Cafe Cream Desserts Ice Pizza,500.0
Meenu Oota Da Maane,Yes,Yes,4.2,293,Koramangala 5th Block,Casual Dining,Chinese Mangalorean Seafood,800.0
Over The Top Terrace Lounge,No,Yes,3.9,1388,Koramangala 5th Block,Lounge,Continental Indian North,1400.0
Bangaliana,Yes,No,3.9,452,Koramangala 7th Block,Casual Dining,Bengali,600.0
Khawa Karpo,No,No,4.3,988,Koramangala 5th Block,Bites Quick,Chinese Momos Tibetan,350.0
7 Plates,Yes,No,3.7,259,Koramangala 5th Block,Casual Dining,Fast Food Mughlai,750.0
Aalishan Restaurant & Caterer,Yes,No,3.5,888,Koramangala 7th Block,Casual Dining,Indian Mughlai North,650.0
Biriyani Mane,Yes,No,3.7,158,Jayanagar,Casual Dining,Biryani Chinese Indian North,700.0
Willys Top Cafe,Yes,No,4.0,310,Jayanagar,Cafe,Asian Cafe Continental,750.0
Tandoor Hut,Yes,No,4.1,1003,Koramangala 5th Block,Casual Dining,Chinese Indian Mughlai North Rolls,700.0
Taj Durbar,No,No,3.8,83,Jayanagar,Bites Quick,BBQ Indian North,400.0
Lounge 189,No,No,3.8,157,HSR,Bar Lounge,Continental Italian,1300.0
Vitamin Palace,No,No,4.1,172,Koramangala 7th Block,Cafe,Beverages Cafe Food Healthy Juices,650.0
Curry Leaves,Yes,No,3.8,232,Jayanagar,Casual Dining,Andhra Chinese Indian North,600.0
Axomi - Taste of Assam,Yes,No,4.0,610,Koramangala 7th Block,Casual Dining,Assamese,500.0
Rajanna Military Hotel,Yes,No,4.1,164,Jayanagar,Bites Quick,Biryani Fast Food,400.0
Khatta Meetha Teekha,Yes,No,4.2,189,Koramangala 6th Block,Bites Quick,Beverages Chinese Food Indian Mithai North Street,300.0
Mavalli Tiffin Room (MTR),No,No,4.1,873,JP Nagar,Bites Quick,Indian South,300.0
Lazeez,Yes,No,3.2,908,Koramangala 5th Block,Casual Dining,Biryani Indian Mughlai North,600.0
Saara's Cafe - SS Lumina Hotel,No,Yes,4.2,117,Koramangala 7th Block,Casual Dining,Arabian Chinese Indian Indian North South,800.0
Tenzin Kitchen,Yes,No,4.2,522,Koramangala 7th Block,Bites Quick,Chinese Momos Tibetan,450.0
Nutri Rich,Yes,No,3.8,53,Koramangala 7th Block,Bites Quick,Food Healthy,350.0
Rajesh Restaurant,Yes,Yes,3.5,59,HSR,Casual Dining,Chinese Continental Indian Indian North South,700.0
Leon Grill,Yes,No,4.3,165,Koramangala 5th Block,Bites Quick,Arabian Burger Desserts Fast Food Food Healthy Salad Turkish,500.0
Hyderabad Bawarchi,No,No,3.9,118,Jayanagar,Casual Dining,Biryani Chinese Indian North,800.0
Gods Own Cafe,Yes,No,4.4,384,Koramangala 7th Block,Bites Quick,Indian Kerala Seafood South,300.0
IDC Kitchen,No,No,4.2,51,Koramangala 5th Block,Bites Quick,Indian South,200.0
WTF,Yes,No,4.1,90,Koramangala 5th Block,Cafe,Cafe Continental,600.0
Saara's Grill n Spice - SS Lumina Hotel,No,Yes,4.3,104,Koramangala 7th Block,Casual Dining,Arabian Beverages Indian North,1000.0
30 Square,Yes,No,4.2,556,Koramangala 5th Block,Bites Quick,Momos Nepalese Tibetan,400.0
Tibetan Kitchen,Yes,No,4.3,245,Koramangala 5th Block,Bites Quick,Chinese Continental Momos Tibetan,600.0
Nouvelle Garden,No,No,3.7,202,JP Nagar,Casual Dining,Continental Indian Italian North,900.0
Arya Hungry?,Yes,No,4.3,277,Koramangala 7th Block,Bites Quick,Indian North,450.0
Sardarji Ka Dhaba,Yes,No,4.0,750,Hosur Road,Bites Quick,Indian North,250.0
Billionaires Cafe,Yes,No,3.8,47,Koramangala 5th Block,Cafe,Cafe Italian,600.0
Aami Bangali,Yes,No,3.0,66,Koramangala 5th Block,Casual Dining,Bengali,700.0
12th Main - Grand Mercure,No,Yes,4.1,353,Koramangala 3rd Block,Dining Fine,Asian European,2000.0
Vaho Kafe & Pressery,No,No,3.9,124,Bannerghatta Road,Cafe,Asian Biryani Cafe Food Healthy Indian Italian Juices North,500.0
Sarvam,Yes,No,3.6,122,HSR,Casual Dining,Andhra Chettinad Chinese Indian Indian North Seafood South,550.0
Shree Thali,No,No,4.0,181,Koramangala 5th Block,Mess,Indian North,150.0
City Durbar,Yes,No,3.7,72,Jayanagar,Casual Dining,Biryani Chinese Indian North,450.0
Taj Darbar,Yes,No,3.8,149,Koramangala 5th Block,Casual Dining,Biryani Chinese Mughlai,600.0
Burger King,Yes,No,3.9,1043,Koramangala 7th Block,Bites Quick,Beverages Burger Fast Food,600.0
Fandom at Gilly's Redefined,No,No,3.8,103,Koramangala 4th Block,Bar,Finger Food,1500.0
Atta Galata,No,No,4.1,208,Koramangala 5th Block,Bites Quick,Bakery Fast Food,200.0
Maxpresso,Yes,No,4.1,323,Koramangala 7th Block,Cafe,American Beverages Cafe Italian,700.0
Drunken Monkey,Yes,No,3.7,125,JP Nagar,Beverage Bites Quick Shop,Beverages Fast Food,400.0
Haji Ali Juice Centre,Yes,No,4.0,152,Koramangala 5th Block,Beverage Bites Quick Shop,Beverages Desserts Fast Food,350.0
Embers - Nandhana Grand Hotel,No,No,3.8,38,Koramangala 6th Block,Casual Dining,Chinese Continental Indian Indian North South Thai,900.0
Tawa Ghar Ka,Yes,No,3.8,331,HSR,Bites Quick,Indian North,350.0
Kebarbiq,Yes,No,4.0,138,Koramangala 7th Block,Casual Dining,Arabian Eastern Grill Indian Middle Mughlai North,800.0
Navami,Yes,No,3.5,79,Jayanagar,Casual Dining,Andhra Biryani Chinese Indian Mangalorean North Seafood,600.0
Spice Code,No,Yes,3.9,165,JP Nagar,Casual Dining,Biryani Chinese Indian Indian North South,1000.0
Shri Madhuram,No,No,3.9,371,HSR,Casual Dining,Indian Indian North South,400.0
Sonar Bangala,Yes,No,3.8,76,Koramangala 5th Block,Bites Quick,Bengali Indian North,500.0
Smoor,Yes,No,4.2,99,Koramangala 7th Block,Cafe Dessert Parlor,Beverages Cafe Desserts,900.0
Namaste Kitchen,Yes,No,3.8,172,Koramangala 5th Block,Casual Dining,Chinese Indian Indian North South,400.0
#L-81 Cafe,Yes,No,3.9,48,HSR,Bites Quick,Beverages Fast Food,400.0
Royal Chef Naati Oota,No,No,4.0,193,JP Nagar,Casual Dining,Biryani Indian Indian North South,500.0
Smokey Tribe Restaurant,Yes,No,3.8,264,Koramangala 7th Block,Casual Dining,Chinese Eastern North,650.0
Woody's,Yes,No,2.6,208,JP Nagar,Casual Dining,Chinese Indian Indian North South,650.0
Aaranya Restaurant,Yes,No,3.4,212,HSR,Casual Dining,Chinese Indian Mughlai North,800.0
Tella Tales,Yes,No,4.2,413,Koramangala 5th Block,Cafe,Beverages Cafe Desserts,700.0
Grills And Tandoor,Yes,Yes,3.6,107,Koramangala 5th Block,Casual Dining,Chinese Indian North,900.0
Pani Kum Chai,Yes,No,3.9,67,Jayanagar,Bites Quick,Fast Food,200.0
Biryani Palace,Yes,No,3.9,459,HSR,Bites Quick,Biryani Chinese Hyderabadi,600.0
Wat-a-Burger!,Yes,No,4.0,108,Jayanagar,Bites Quick,Beverages Burger Sandwich,500.0
Tharavadu,Yes,No,3.8,84,HSR,Bites Quick,Chinese Indian Kerala North,400.0
Momo Hut,Yes,No,4.0,684,Koramangala 5th Block,Bites Quick,Chinese Momos Tibetan,250.0
Banchharam,No,No,3.9,139,Koramangala 7th Block,Bites Quick Shop Sweet,Food Mithai Street,200.0
Parisar Veg Restaurant,Yes,No,3.6,64,Bommanahalli,Casual Dining,Chinese Indian Indian North South,400.0
Chaska Bun,Yes,No,4.2,166,Koramangala 5th Block,Bites Quick,Fast Food,300.0
Pallavi North Indian Veg Restaurant,Yes,No,3.7,244,JP Nagar,Casual Dining,Biryani Chinese Indian North,450.0
Hari Super Sandwich,No,No,4.0,161,Jayanagar,Bites Quick,Fast Food Food Street,200.0
The Paramount Hotel,Yes,No,3.5,239,Koramangala 5th Block,Casual Dining,Biryani Indian Kerala North Seafood,1000.0
Gam's Delicacy,Yes,Yes,4.2,325,Koramangala 7th Block,Casual Dining,Assamese Chinese Indian North,800.0
Mysuru Coffee Thindi,Yes,No,4.1,301,Jayanagar,Bites Quick,Coffee Indian South,200.0
Spice Up,Yes,No,3.8,146,JP Nagar,Casual Dining,Chinese,600.0
Taco Bell,Yes,No,4.0,911,Bannerghatta Road,Bites Quick,American Fast Food Mexican,600.0
Delite Chaat House,Yes,No,3.9,498,Koramangala 6th Block,Bites Quick,Food Gujarati Street,300.0
Kalpavriksha Upahara,Yes,No,3.9,126,Jayanagar,Bites Quick,Chinese Indian Indian North South,400.0
Tawa Sagara,Yes,No,3.8,122,Jayanagar,Casual Dining,Mangalorean Seafood,700.0
Status,Yes,No,3.3,67,Bannerghatta Road,Casual Dining,Chinese Indian North,600.0
Sagar Fast Food,Yes,No,4.0,76,Koramangala 3rd Block,Bites Quick,Fast Food Indian Indian North South,300.0
Southinn,Yes,No,3.8,190,HSR,Bites Quick,Chinese Fast Food Food Indian Indian North South Street,250.0
Paisa Vasool,Yes,No,3.3,394,Koramangala 7th Block,Bites Quick,Indian North,400.0
Laziz Pizza,Yes,No,3.8,41,Koramangala 7th Block,Bites Quick,Burger Fast Food Pizza,400.0
Dosa Plaza,Yes,No,3.8,139,Koramangala 5th Block,Bites Quick,Beverages Chinese Indian Indian North South,200.0
Rajvardhan Foods,Yes,No,3.9,315,Jayanagar,Bites Quick,Food Maharashtrian Street,300.0
Tummy Fuel,Yes,No,4.2,450,Jayanagar,Cafe,Beverages Cafe Fast Food,400.0
Barcode,No,Yes,3.8,169,Koramangala 4th Block,Bar,Indian Indian North South,1300.0
The Mylapore Cafe,Yes,No,4.1,119,HSR,Bites Quick,Indian Kerala South,200.0
Gundappa Donne Biryani,No,No,3.1,117,Koramangala 7th Block,Bites Quick,Biryani,200.0
The Onyx - The HHI Select Bengaluru,No,No,3.3,177,JP Nagar,Casual Dining,Chinese Continental Indian North,950.0
The Chocolate Room,Yes,No,3.9,153,JP Nagar,Court Food,Cafe Desserts,400.0
Flavor of Tibet,No,No,4.0,57,Koramangala 5th Block,Casual Dining,Tibetan,400.0
Maria's Goan Kitchen,Yes,No,3.9,391,Koramangala 7th Block,Casual Dining,Biryani Chinese Goan,750.0
Shaap,Yes,No,3.6,207,Koramangala 5th Block,Casual Dining,Kerala Seafood,500.0
Upahara Darshini,Yes,No,4.0,166,Jayanagar,Bites Quick,Chinese Indian Indian North South,400.0
Hotel Food Lands,Yes,No,3.8,57,Koramangala 7th Block,Casual Dining,Mangalorean Seafood,700.0
Elmas Restaurant,Yes,No,3.4,34,Koramangala 7th Block,Casual Dining,Biryani Chinese Indian Indian Kerala North Seafood South,650.0
Vijayalakshmi Veg,Yes,No,3.9,97,Jayanagar,Bites Quick,Indian South,200.0
Chowpatty,Yes,No,3.6,95,Koramangala 1st Block,Bites Quick,Fast Food Food Indian North Street,300.0
Yummy Biryani,Yes,No,3.8,41,Koramangala 7th Block,Bites Quick,Biryani,200.0
Nammura Upahara,No,No,3.8,40,JP Nagar,Bites Quick,Indian South,100.0
Dhuaan,No,No,3.8,109,Koramangala 5th Block,Cafe,Cafe Continental,800.0
Foodiesthan,Yes,No,3.7,59,HSR,Cafe,Cafe Fast Food Indian North,600.0
Urban Spoon Buffet Restaurant,No,Yes,3.5,32,Koramangala 5th Block,Casual Dining,Chinese Indian North,1000.0
Polar Bear,Yes,No,3.8,46,Jayanagar,Dessert Parlor,Beverages Cream Desserts Ice Sandwich,400.0
Min Mini Punjabi Dhaba,Yes,No,3.9,85,Koramangala 7th Block,Bites Quick,Indian North,400.0
Friend's Cafe,Yes,No,3.9,551,Koramangala 7th Block,Bites Quick,American Chinese Fast Food,600.0
Barbeque Station,Yes,No,2.8,151,Koramangala 7th Block,Casual Dining,BBQ Chinese Indian North,700.0
Mug N Bean,Yes,No,3.9,247,Jayanagar,Cafe,Burger Cafe Continental Italian,400.0
More Pizza,Yes,No,3.8,46,JP Nagar,Bites Quick,Pizza,450.0
Pizza Stop,Yes,No,3.9,386,JP Nagar,Bites Quick,Italian Pizza,600.0
Shiv Sagar,No,No,3.9,152,Koramangala 7th Block,Court Food,Chinese Fast Food Food Indian North Street,500.0
Mak n Vak - Fyn,Yes,No,3.9,344,HSR,Bites Quick,Chinese Indian North,500.0
Chung Wah Opus,Yes,No,3.0,59,JP Nagar,Casual Dining,Chinese Thai,650.0
Aroma Fine Dine,Yes,Yes,4.0,128,HSR,Casual Dining,Chinese Indian Indian Mughlai North South,900.0
The Hidden Cafe,Yes,No,3.9,96,Koramangala 1st Block,Bites Quick,Fast Food Indian North,350.0
Shuddh Desi Khana,Yes,No,4.1,609,Bannerghatta Road,Bites Quick,Indian North,400.0
Tibbs Frankie,No,No,3.5,70,Koramangala 7th Block,Bites Quick,Food Rolls Street,200.0
Coconadu,No,No,3.7,36,Koramangala 7th Block,Bites Court Food Quick,Kerala Konkan,400.0
Cafe Potpourri,Yes,No,3.7,132,JP Nagar,Cafe,Beverages Cafe Desserts Indian North Sandwich,400.0
New Royal Treat,Yes,No,2.8,102,Bannerghatta Road,Bites Quick,Chinese Indian North,350.0
SLV Restaurant,No,No,4.2,377,JP Nagar,Bites Quick,Chinese Indian Indian North South,300.0
Tiwari's,Yes,No,3.9,75,Bannerghatta Road,Bites Quick,Food Indian North Street,200.0
Kamat Swaad,Yes,No,3.9,194,JP Nagar,Casual Dining,Chinese Indian Indian North South,400.0
Mast Kalandar,No,No,2.3,175,JP Nagar,Casual Dining,Indian North,450.0
Kinpeetos,Yes,No,3.9,64,Koramangala 5th Block,Bites Quick,Greek Lebanese,300.0
Udupi Grand,No,No,2.8,64,Koramangala 7th Block,Bites Quick,Chinese Indian Indian North South,300.0
Natuna Seafood House,Yes,No,4.2,76,Koramangala 5th Block,Bites Quick,Seafood,450.0
Malnad Military Hotel,No,No,3.8,40,Koramangala 7th Block,Casual Dining,Chinese Indian South,500.0
Daily Bread,No,No,2.8,53,Koramangala 4th Block,Bakery Bites Quick,Bakery Fast Food Italian,600.0
Food And You,No,No,3.8,89,Koramangala 5th Block,Bites Quick,Gujarati Indian North,300.0
Hotel Aradhana,Yes,No,3.7,51,Bannerghatta Road,Bites Quick,Indian North,300.0
Chef Master,Yes,No,3.8,75,Jayanagar,Bites Quick,Chinese Indian Kerala North,300.0
Burger Lounge,Yes,No,3.0,72,Koramangala 5th Block,Bites Quick,Beverages Burger Fast Food,600.0
Malabar Coastal Cuisine,No,No,3.6,68,Koramangala 7th Block,Court Food,Kerala,550.0
Chai Chowk,No,No,3.8,82,Koramangala 7th Block,Bites Quick,Chinese Fast Food,200.0
Tandoor Hut,No,No,2.2,90,Bannerghatta Road,Casual Dining,Chinese Indian North,750.0
Falafel's - The Lebanese Haus,No,No,2.9,53,Koramangala 7th Block,Bites Quick,Lebanese,300.0
Cafe Bollywood,No,No,3.4,25,JP Nagar,Bites Quick,Food Street,200.0
Woodee Pizza,Yes,No,2.7,85,JP Nagar,Cafe,Beverages Cafe Fast Food Pizza,500.0
Pappu Da Dhaba,Yes,No,3.0,57,Jayanagar,Bites Quick,Beverages Fast Food Indian Momos North,400.0
The Denny's,No,No,3.7,91,Jayanagar,Casual Dining,Chinese Indian North,900.0
Tapri By The Corner,Yes,No,4.1,205,Koramangala 5th Block,Bites Quick,Fast Food,250.0
Kakal-Kai Ruchi,No,No,3.8,89,JP Nagar,Bites Quick,Chinese Fast Food Indian Indian North South,400.0
Siddique Kabab Centre,Yes,No,3.1,68,Jayanagar,Bites Quick,Chinese Kebab Mughlai,550.0
Khan Saheb Grills and Rolls,Yes,No,3.8,62,Hosur Road,Bites Quick,Fast Food Rolls,350.0
Ambara Gardenia,Yes,Yes,3.8,256,Bannerghatta Road,Casual Dining,Andhra Chinese Indian North Seafood,800.0
Biryani Junction,Yes,No,2.3,298,Bommanahalli,Bites Quick,Biryani Chinese Indian North,450.0
Cafe Mist,Yes,No,3.8,187,JP Nagar,Cafe,American Cafe Continental Italian,500.0
Gilly's Restobar,No,Yes,4.5,3902,Koramangala 5th Block,Casual Dining Pub,Continental Finger Food Indian North,1000.0
Biergarten,No,Yes,3.7,0,Koramangala 5th Block,Microbrewery Pub,Asian BBQ Chinese Continental European Finger Food Indian North,2100.0
"3B's - Buddies, Bar & Barbecues",No,Yes,4.4,1149,BTM,Bar Casual Dining,BBQ European Indian Mediterranean North,1100.0
BANGALORE BOX,Yes,Yes,4.1,624,BTM,Bar Casual Dining,Asian Continental Finger Food,1500.0
Pecos Hideout,No,Yes,4.0,165,BTM,Bar,Finger Food,1100.0
Koramangala Social,Yes,No,4.6,4650,Koramangala 7th Block,Lounge,American Chinese Finger Food Indian North,1500.0
XOOX Brewmill,No,Yes,4.4,1533,Koramangala 5th Block,Casual Dining Microbrewery,Asian European Indian Modern,2000.0
Bombay Adda,No,Yes,4.5,2225,Koramangala 7th Block,Bar Casual Dining,Indian Modern,1100.0
Levitate Brewery and Kitchen,No,Yes,3.7,0,JP Nagar,Casual Dining Microbrewery,Continental Finger Food Indian North,1500.0
Deja Vu Resto Bar,Yes,Yes,4.4,2493,Bannerghatta Road,Pub,Indian Italian North,900.0
Brooks and Bonds Brewery,Yes,Yes,4.4,3870,Koramangala 5th Block,Casual Dining Microbrewery,Chinese Continental Finger Food Indian Mediterranean North,1600.0
Fenny's Lounge And Kitchen,No,Yes,4.5,6348,Koramangala 7th Block,Bar Casual Dining,Continental Mediterranean Pizza Salad Seafood,1600.0
Brewsky,Yes,Yes,4.4,4315,JP Nagar,Microbrewery,American Continental,1600.0
House Of Commons,No,Yes,4.8,4390,Koramangala 5th Block,Bar,Asian Continental Indian North,1000.0
Drava,No,Yes,4.4,110,Koramangala 5th Block,Lounge,Asian Continental Indian North Pizza,1500.0
The Terrace at Gilly's Redefined,No,Yes,4.6,866,Koramangala 4th Block,Casual Dining Microbrewery,Asian Continental Finger Food Indian North,1400.0
The Boozy Griffin,No,Yes,4.6,4947,Koramangala 5th Block,Casual Dining Pub,Continental European,1800.0
Simon Says Brew Works,No,Yes,4.5,1932,Koramangala 5th Block,Casual Dining Microbrewery,American Burger Continental Indian Italian Modern Pizza,1400.0
Myu Bar at Gilly's Redefined,No,Yes,4.4,1213,Koramangala 4th Block,Bar Microbrewery,American Continental Finger Food Indian Italian North Pizza,1200.0
55 Wall Street,No,Yes,3.9,1771,JP Nagar,Bar,Chinese Finger Food Indian North,1300.0
Happy Brew,No,Yes,4.0,2151,Koramangala 5th Block,Lounge,American BBQ Chinese Continental Salad,1000.0
Crawl Street,Yes,Yes,4.3,2563,Koramangala 5th Block,Bar,Chinese Continental Finger Food Indian North,1200.0
Harry's Bar + Cafe,Yes,Yes,4.2,1365,Koramangala 7th Block,Bar Casual Dining,American Asian Mexican,1400.0
The Flying Trapeze,No,Yes,3.7,0,Koramangala 5th Block,Lounge,Chinese Continental Indian North,1500.0
Crumb Together,Yes,Yes,4.1,587,JP Nagar,Bar Casual Dining,Chinese Continental Finger Food Indian North,1200.0
What's In A Name,Yes,Yes,4.1,1774,Koramangala 5th Block,Pub,Asian European Finger Food Italian,1200.0
Sathya's,No,Yes,4.1,759,Koramangala 3rd Block,Bar,Chinese Indian North,1200.0
Bottle Breacher,No,Yes,4.2,1192,JP Nagar,Casual Dining Pub,Continental Italian,1200.0
Tilt Gastro Lounge,No,Yes,4.1,1235,Koramangala 5th Block,Casual Dining Lounge,American Chinese Continental Indian North,1500.0
52 Wall Street,No,No,3.9,737,Koramangala 6th Block,Bar Casual Dining,American Continental Finger Food,1400.0
Bulls N Bears - Bar Trade Xchange,No,Yes,3.9,144,Koramangala 5th Block,Bar Pub,Continental Finger Food Indian North Pizza,1000.0
Watson's,Yes,Yes,4.0,1014,JP Nagar,Bar Pub,Chinese Continental Finger Food,1300.0
Sherlock's Pub,No,Yes,3.9,579,Koramangala 5th Block,Casual Dining Pub,Chinese Continental Indian North,1300.0
Over The Top Terrace Lounge,No,Yes,3.9,1388,Koramangala 5th Block,Lounge,Continental Indian North,1400.0
Fandom at Gilly's Redefined,No,No,3.8,103,Koramangala 4th Block,Bar,Finger Food,1500.0
Barcode,No,Yes,3.8,169,Koramangala 4th Block,Bar,Indian Indian North South,1300.0
"3B's - Buddies, Bar & Barbecues",No,Yes,4.4,1154,BTM,Bar Casual Dining,BBQ European Indian Mediterranean North,1100.0
Fenny's Lounge And Kitchen,No,Yes,4.5,6349,Koramangala 7th Block,Bar Casual Dining,Continental Mediterranean Pizza Salad Seafood,1600.0
Biergarten,No,Yes,3.7,0,Koramangala 5th Block,Microbrewery Pub,Asian BBQ Chinese Continental European Finger Food Indian North,2100.0
BANGALORE BOX,Yes,Yes,4.1,625,BTM,Bar Casual Dining,Asian Continental Finger Food,1500.0
Pecos Hideout,No,Yes,4.0,165,BTM,Bar,Finger Food,1100.0
The Black Pearl,No,Yes,4.7,10422,Koramangala 5th Block,Bar Casual Dining,European Indian Mediterranean North,1400.0
Gilly's Restobar,No,Yes,4.5,3903,Koramangala 5th Block,Casual Dining Pub,Continental Finger Food Indian North,1000.0
Bombay Adda,No,Yes,4.5,2233,Koramangala 7th Block,Bar Casual Dining,Indian Modern,1100.0
Buff Buffet Buff,Yes,Yes,4.5,3130,Koramangala 5th Block,Bar Casual Dining,Chinese Continental Indian North Salad Thai,1500.0
Deja Vu Resto Bar,Yes,Yes,4.4,2493,Bannerghatta Road,Pub,Indian Italian North,900.0
Indigo XP,No,No,4.3,2349,Koramangala 5th Block,Pub,Asian Continental Finger Food Indian North,1400.0
Fenny's Lounge And Kitchen,No,Yes,4.5,6349,Koramangala 7th Block,Bar Casual Dining,Continental Mediterranean Pizza Salad Seafood,1600.0
Asia Kitchen By Mainland China,Yes,Yes,4.9,2184,Koramangala 5th Block,Bar Casual Dining,Asian Chinese Momos Thai,1500.0
House Of Commons,No,Yes,4.8,4390,Koramangala 5th Block,Bar,Asian Continental Indian North,1000.0
Punjab Bistro,Yes,Yes,4.4,454,Koramangala 7th Block,Bar Casual Dining,Indian North,1500.0
The Boozy Griffin,No,Yes,4.6,4965,Koramangala 5th Block,Casual Dining Pub,Continental European,1800.0
Three Dots & A Dash,No,Yes,4.3,1203,JP Nagar,Bar Casual Dining,Continental European,1500.0
Myu Bar at Gilly's Redefined,No,Yes,4.4,1213,Koramangala 4th Block,Bar Microbrewery,American Continental Finger Food Indian Italian North Pizza,1200.0
55 Wall Street,No,Yes,3.9,1774,JP Nagar,Bar,Chinese Finger Food Indian North,1300.0
Public - The Rooftop Bar And Kitchen,No,Yes,4.3,958,Bannerghatta Road,Bar Casual Dining,Andhra Chinese Indian Indian North South,1000.0
Crawl Street,Yes,Yes,4.3,2562,Koramangala 5th Block,Bar,Chinese Continental Finger Food Indian North,1200.0
Bob's Bar,No,No,3.7,0,Koramangala 7th Block,Bar Casual Dining,Finger Food Indian South,1000.0
Harry's Bar + Cafe,Yes,Yes,4.2,1365,Koramangala 7th Block,Bar Casual Dining,American Asian Mexican,1400.0
Beer Adda,Yes,Yes,4.2,541,Koramangala 5th Block,Casual Dining Pub,Chinese Indian North Pizza,1000.0
Fava Bistro,Yes,Yes,4.4,383,Koramangala 5th Block,Bar Casual Dining,Beverages Italian Mediterranean Pizza,1500.0
Crumb Together,Yes,Yes,4.1,587,JP Nagar,Bar Casual Dining,Chinese Continental Finger Food Indian North,1200.0
Nandhana Palace,No,Yes,4.1,771,Koramangala 4th Block,Bar Casual Dining,Andhra Biryani Chinese Indian North,800.0
What's In A Name,Yes,Yes,4.1,1774,Koramangala 5th Block,Pub,Asian European Finger Food Italian,1200.0
Sathya's,No,Yes,4.1,759,Koramangala 3rd Block,Bar,Chinese Indian North,1200.0
Bottle Breacher,No,Yes,4.2,1194,JP Nagar,Casual Dining Pub,Continental Italian,1200.0
Bistro Oui,Yes,Yes,4.1,400,Koramangala 5th Block,Bar Cafe,Cafe Continental Salad Steak,1200.0
52 Wall Street,No,No,3.9,738,Koramangala 6th Block,Bar Casual Dining,American Continental Finger Food,1400.0
Bulls N Bears - Bar Trade Xchange,No,Yes,3.9,144,Koramangala 5th Block,Bar Pub,Continental Finger Food Indian North Pizza,1000.0
Watson's,Yes,Yes,4.0,1015,JP Nagar,Bar Pub,Chinese Continental Finger Food,1300.0
JukeBox,No,Yes,3.9,281,Koramangala 7th Block,Bar Casual Dining,Chinese Continental Indian Italian North Parsi Steak,1000.0
Sherlock's Pub,No,Yes,3.9,579,Koramangala 5th Block,Casual Dining Pub,Chinese Continental Indian North,1300.0
Lounge 189,No,No,3.8,157,HSR,Bar Lounge,Continental Italian,1300.0
Fandom at Gilly's Redefined,No,No,3.9,105,Koramangala 4th Block,Bar,Finger Food,1500.0
Coconut Grove,No,No,3.4,97,JP Nagar,Bar Casual Dining,Chettinad Indian Kerala Seafood South,1100.0
Barcode,No,Yes,3.8,169,Koramangala 4th Block,Bar,Indian Indian North South,1300.0
Chutney Chang,Yes,Yes,4.2,4733,Church Street,Casual Dining,BBQ Chinese Indian North,1500.0
Oh! Calcutta,Yes,Yes,4.4,1112,Church Street,Bar Casual Dining,Bengali Seafood,1200.0
